tconst,primaryTitle,startYear,worldwide,domestic,log_worldwide,log_domestic,dom_r,dom_g,dom_b,avg_brightness,avg_saturation,orange_teal_score,face_count,face_density,release_month,release_window
tt34798877,The Kingdom,2024,22231,,10.00928797142234,,28,52,68,127.55,130.19,0.149,5,0.1333,12,Other
tt8942260,Really?,2018,2814977,,14.850465004250076,,41,31,24,125.46,89.3,0.4021,10,0.2801,3,Other
tt4791322,"Tiger, Blood in the Mouth",2016,77451,,11.257413668623288,,6,4,4,79.61,62.36,0.342,2,0.0533,8,Other
tt12744120,The Inner Cage,2021,840167,,13.641357150822165,,159,157,141,144.91,32.79,0.0208,3,0.08,9,Other
tt33308008,Sweeney Todd: Slice & Dice,2025,28932,,10.27273809117664,,23,18,24,68.27,98.08,0.3186,2,0.0533,2,Other
tt10940334,Prati Roju Pandaage,2019,100173,,11.514663952923948,,252,253,252,183.42,68.05,0.2007,2,0.0533,12,Other
tt16438602,Wild Urge,2024,1059,,6.966024187106113,,17,15,26,99.15,147.7,0.0713,0,0.0,3,Other
tt14549270,The Palace,2023,972161,,13.787277736221895,,239,230,224,185.35,71.18,0.6848,1,0.0267,9,Other
tt4929038,The Ornithologist,2016,74714,50511.0,11.221436154175494,10.829966210797773,45,48,39,83.7,104.74,0.343,0,0.0,8,Summer
tt6405126,Simran,2017,2740865,,14.82378448682248,,32,17,10,86.93,170.27,0.4751,1,0.0267,9,Other
tt7725384,1982,2019,60751,43829.0,11.014555282471584,10.688073793412856,249,240,232,186.61,56.38,0.3615,4,0.1067,9,Summer
tt26749327,Brief History of a Family,2024,127028,,11.752170685830338,,232,232,231,136.68,14.24,0.0408,3,0.08,1,Other
tt5108204,Sound for the Future,2020,99,,4.605170185988092,,252,240,223,164.8,128.77,0.2445,2,0.0533,10,Other
tt24082488,The Eternal Memory,2023,118866,67594.0,11.685760500001614,11.121289294798506,112,162,176,157.13,108.02,0.7755,2,0.0533,1,Summer
tt17504906,Dum Mastam,2022,46142,,10.73950054911992,,73,72,71,94.68,30.3,0.012,3,0.08,5,Other
